id,prediction,location.lat,location.lon,availability.slots
256,7,19.4372,-99.15816,18
257,17,19.4338,-99.16622,15
258,6,19.4167,-99.1791,26
259,9,19.43757,-99.15468,19
260,10,19.435354,-99.147742,5
261,1,19.42495,-99.17246,29
262,12,19.43693,-99.13395,18
263,4,19.436274,-99.158425,27
264,25,19.440985,-99.152935,27
265,16,19.440839,-99.152265,34
266,15,19.444031,-99.152187,0
267,10,19.443735,-99.152203,18
268,50,19.442467,-99.151658,7
269,44,19.442448,-99.151586,6
270,11,19.43676,-99.15387,25
271,26,19.443928,-99.152525,20
272,12,19.443556,-99.152556,33
273,10,19.442707,-99.152956,9
274,23,19.442772,-99.153289,10
275,22,19.441062,-99.153164,30
276,13,19.401986,-99.156366,22
277,22,19.401807,-99.15909,26
278,9,19.40071,-99.163831,16
279,16,19.399908,-99.166553,27
280,59,19.4015,-99.156406,16
281,20,19.398532,-99.157308,16
282,6,19.398692,-99.161273,16
283,17,19.39827,-99.167383,12
284,20,19.397693,-99.172981,28
285,19,19.3997946,-99.1775178,14
286,4,19.399201,-99.179943,18
287,7,19.398946,-99.183254,21
288,12,19.396333,-99.183575,16
289,11,19.397308,-99.174548,18
290,7,19.396333,-99.172667,16
291,1,19.397651,-99.169946,21
292,10,19.396917,-99.166264,25
293,9,19.397373,-99.164598,33
294,2,19.396513,-99.160924,23
295,35,19.396328,-99.156871,24
296,29,19.394283,-99.158756,18
297,23,19.394412,-99.158907,31
298,12,19.394073,-99.16214,21
299,18,19.394601,-99.165054,21
300,9,19.393268,-99.168333,13
301,1,19.393807,-99.171133,18
302,2,19.393832,-99.171466,32
303,19,19.394842,-99.173025,13
304,4,19.395043,-99.173821,20
305,14,19.394693,-99.175531,33
306,12,19.393699,-99.175664,19
307,7,19.393701,-99.175834,23
308,12,19.393594,-99.178072,28
309,8,19.393162,-99.17956,24
310,14,19.395319,-99.181733,10
311,15,19.393665,-99.185391,15
312,19,19.392634,-99.183737,14
313,16,19.391431,-99.178989,21
314,11,19.391647,-99.177331,7
315,10,19.391472,-99.1736,19
316,3,19.391056,-99.1712,15
317,23,19.391456,-99.166157,32
318,13,19.392249,-99.164127,20
319,12,19.391991,-99.162684,25
320,16,19.391323,-99.15936,13
321,29,19.389477,-99.157513,17
322,22,19.388528,-99.160616,22
323,11,19.389026,-99.163403,22
324,23,19.3872468,-99.1656554,1
325,15,19.3881779,-99.1696894,22
326,9,19.388978,-99.174811,24
327,23,19.38885,-99.17772,10
328,15,19.392586,-99.184742,20
329,7,19.390306,-99.184812,19
330,8,19.389358,-99.182606,11
331,21,19.388547,-99.183971,16
332,27,19.385508,-99.183809,24
333,8,19.387624,-99.180978,8
334,11,19.386568,-99.175089,28
335,14,19.387003,-99.173504,31
336,34,19.385531,-99.169673,17
337,11,19.384849,-99.16704,7
338,11,19.384249,-99.163273,15
339,2,19.386032,-99.160548,17
340,15,19.385571,-99.158188,25
341,28,19.382851,-99.158204,29
342,14,19.381076,-99.159455,23
343,0,19.384099,-99.160826,8
344,5,19.382107,-99.162243,18
345,1,19.384498,-99.172223,16
346,13,19.385019,-99.174077,15
347,11,19.384378,-99.176097,20
348,9,19.385365,-99.178216,5
349,6,19.385688,-99.180857,20
350,7,19.384062,-99.181482,26
351,14,19.385751,-99.186297,14
352,22,19.384114,-99.185447,22
353,11,19.382168,-99.178808,17
354,5,19.381665,-99.176685,20
355,9,19.38205,-99.173291,17
356,13,19.381292,-99.170171,9
357,5,19.380598,-99.1669248,22
358,3,19.380168,-99.164222,11
359,8,19.379269,-99.161169,23
360,11,19.3790279,-99.1628259,16
361,14,19.380709,-99.17508,25
362,12,19.382207,-99.181043,18
363,5,19.380813,-99.183851,21
364,3,19.383063,-99.185858,23
365,34,19.381117,-99.186687,18
366,10,19.378345,-99.181973,23
367,2,19.37946,-99.181632,20
368,11,19.379246,-99.179344,23
369,28,19.379884,-99.177478,31
370,12,19.378818,-99.177054,27
371,15,19.378542,-99.174328,12
372,11,19.37797,-99.170289,18
373,3,19.377968,-99.166663,18
374,3,19.376964,-99.161116,28
375,6,19.376865,-99.158818,20
376,7,19.375442,-99.161595,27
377,10,19.375394,-99.16375,26
378,14,19.375823,-99.168076,24
379,8,19.375751,-99.17084,31
380,22,19.374876,-99.173512,24
381,10,19.375541,-99.177894,23
382,15,19.375591,-99.178084,21
383,3,19.375764,-99.181527,14
384,2,19.375873,-99.185583,17
385,4,19.375651,-99.18558,26
386,2,19.37484,-99.185846,25
387,13,19.37455556,-99.180505555556,16
388,5,19.373038,-99.181355,19
389,22,19.373528,-99.179356,36
390,4,19.373228,-99.17826,36
391,8,19.373142,-99.178283,10
392,9,19.3730067,-99.1747749,9
393,13,19.372796,-99.172558,30
394,10,19.372437,-99.171592,31
395,12,19.373742,-99.169814,19
396,5,19.371554,-99.170187,21
397,5,19.373194,-99.167247,20
398,12,19.37103,-99.16566,20
399,9,19.372407,-99.164519,19
400,9,19.3726458,-99.1642743,17
401,14,19.372147,-99.16158,18
402,17,19.3709452,-99.1587223,20
403,2,19.371371,-99.158639,24
404,22,19.373813,-99.157387,18
405,9,19.370619,-99.156626,29
406,15,19.367831,-99.163261,14
407,15,19.367294,-99.158694,16
408,5,19.36677,-99.156843,18
409,11,19.365102,-99.155499,16
410,17,19.36564,-99.158063,22
411,25,19.367864,-99.163626,23
412,24,19.3684182,-99.1654145,15
413,5,19.369782,-99.171906,26
414,8,19.370187,-99.173712,27
415,18,19.371498,-99.17602,27
416,9,19.371308,-99.177607,27
417,12,19.373262,-99.184333,16
418,5,19.371152,-99.183034,31
419,16,19.370606,-99.181502,9
420,8,19.369723,-99.17964,20
421,9,19.369467,-99.179401,23
422,6,19.368356,-99.177487,20
423,7,19.367631,-99.175342,21
424,7,19.367208,-99.170531,6
425,19,19.367087,-99.16741,12
426,19,19.365519,-99.166017,28
427,10,19.365023,-99.162993,10
428,5,19.363418,-99.160353,25
429,6,19.363071,-99.158292,17
430,7,19.362139,-99.154974,27
431,20,19.36145,-99.15822,20
432,13,19.361296,-99.162581,25
433,4,19.363558,-99.170819,20
434,10,19.363741,-99.171268,19
435,11,19.365154,-99.172906,31
436,14,19.366217,-99.177819,24
437,1,19.36480833,-99.17602222,20
438,3,19.36479722,-99.17458333,13
439,10,19.36218889,-99.17246667,12
441,27,19.361215,-99.167527,21
442,19,19.359905,-99.1653,4
443,28,19.359655,-99.162025,21
444,5,19.359384,-99.159425,14
445,15,19.35827,-99.156105,15
446,15,19.3586,-99.156101,28
447,11,19.418858,-99.176776,16
448,9,19.426611,-99.14447,24
449,4,19.42018,-99.174393,10
450,17,19.43836,-99.152226,21
451,10,19.42902,-99.201322,28
452,6,19.435031,-99.179838,14
453,2,19.424842,-99.203739,33
454,0,19.425905,-99.204236,24
455,1,19.426308,-99.203302,23
456,7,19.427517,-99.208412,16
457,10,19.42703,-99.212845,14
458,17,19.428679,-99.206605,23
459,10,19.429243,-99.207267,24
460,2,19.437014,-99.207932,29
461,2,19.440106,-99.210031,32
462,5,19.442338,-99.205198,20
463,18,19.442338,-99.202492,23
464,7,19.442421,-99.199838,14
465,10,19.445039,-99.194078,21
466,8,19.44269,-99.19083,24
467,6,19.440399,-99.186784,18
468,21,19.4366022,-99.1796833,29
469,4,19.434183,-99.173089,22
470,21,19.435039,-99.173879,24
471,9,19.436287,-99.174888,16
472,7,19.437667,-99.17711,23
473,13,19.438143,-99.17519,35
474,12,19.438984,-99.177549,32
475,4,19.439249,-99.181065,14
476,5,19.442127,-99.184433,33
477,3,19.440905,-99.181743,3
478,10,19.440818,-99.176961,21
479,5,19.444433,-99.179664,23
480,5,19.446073,-99.181654,9
